what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340566723171
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1340566751781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340566828024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340566829142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340566837111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340566838907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340566846977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340566850022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340566854924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340566866785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340567100285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340567115134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340567118140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340567197558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340567199013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340567204826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340567206507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340567248598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340567250382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340568069358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340568070516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340568118849
